National Center for Education Statistics
"Revenues (in thousands) of public postsecondary institutions using GASB standards, by state and  source of funds: 2020"

Year,State,Total,Tuition and fees (net of allowances and discounts),Federal grants and contracts,State grants and contracts,Local grants and contracts,Sales and services of auxiliary enterprises,Sales and services of hospitals,Independent operations,Other operating revenues,Federal appropriations,State appropriations,Local appropriations,Federal nonoperating grants,State nonoperating grants,Local nonoperating grants,Gifts,Investment income,Other nonoperating revenues,Capital appropriations,Capital grants and gifts,Additions to permanent endowments,Other revenues and additions
2018,Arizona,"$7,083,614","$2,437,393","$571,274","$20,290","$273,233","$453,658",$0,$0,"$220,462","$13,961","$745,394","$892,488","$599,829","$62,820","$51,289","$190,465","$57,883","$399,409","$36,089","$30,757","$5,702","$21,218"
2018,Arkansas,"$4,406,294","$626,989","$229,136","$129,648","$73,221","$320,765","$1,231,064",$0,"$372,652",$273,"$771,076","$34,966","$242,383","$91,142","$5,327","$122,836","$36,200","$9,466","$4,192","$99,674",$748,"$4,537"
2018,California,"$63,296,075","$8,035,182","$3,703,466","$1,982,457","$2,034,245","$2,448,689","$12,064,599",$0,"$6,078,502","$4,517","$11,587,228","$4,048,931","$3,311,961","$1,387,663","$113,743","$1,431,176","$573,578","$1,992,264","$414,694","$505,743","$25,996","$1,551,444"
2018,Colorado,"$8,915,508","$2,407,138","$1,110,038","$525,140","$297,570","$669,245","$1,184,305",$0,"$577,074","$768,146","$53,300","$100,434","$290,582","$12,604",$725,"$327,547","$189,812","$61,244","$101,468","$91,376",$665,"$147,093"
2018,Connecticut,"$3,990,944","$793,929","$178,956","$56,462","$44,507","$321,640","$439,491","$190,823","$116,912",$0,"$1,258,267",$0,"$169,335","$10,387",$0,"$31,612","$11,654","$74,702","$379,194","$5,099",$374,"$-92,401"
2018,Delaware,"$325,323","$82,095","$25,424","$17,159",$0,"$26,055",$0,$0,"$5,195",$0,"$117,078",$0,"$31,186",$0,"$8,385",$10,$394,$402,"$11,000",$0,$0,$942
2018,District of Columbia,"$159,987","$33,759","$13,829",$0,"$5,969",$417,$0,$0,"$3,194",$0,"$80,000",$0,"$7,495",$0,$0,"$1,313","$2,360",$0,"$11,649",$0,$0,$0
2018,Florida,"$13,834,357","$2,561,107","$1,189,452","$215,822","$1,177,228","$919,685",$0,"$8,868","$183,267","$2,257","$4,338,670","$38,237","$1,428,490","$572,215","$24,959","$285,443","$160,671","$115,231","$376,297","$227,769","$1,860","$6,828"
2018,Georgia,"$9,246,695","$2,271,926","$938,347","$93,772","$573,061","$925,084","$236,420",$0,"$299,115","$5,625","$2,442,075",$737,"$851,058","$28,069","$20,370","$151,091","$42,048","$26,345","$2,096","$315,071",$565,"$23,819"
2018,Hawaii,"$1,846,509","$259,446","$305,248","$40,405","$50,031","$100,246",$0,"$28,397","$9,504",$0,"$485,153",$0,"$57,479","$264,855",$0,"$3,054","$9,226","$26,511","$184,178","$5,505",$0,"$17,271"
2018,Idaho,"$1,387,832","$370,564","$133,117","$29,265","$15,953","$105,163",$0,$0,"$51,160","$4,866","$431,993","$31,430","$93,410","$4,212",$0,"$60,444","$3,783","$7,254","$11,345","$32,206","$1,665",$0
2018,Illinois,"$14,464,655","$2,459,769","$798,550","$204,893","$182,283","$859,753","$835,807","$11,533","$886,442","$13,662","$2,282,662","$1,164,980","$667,890","$833,237","$12,958","$246,855","$93,152","$2,834,279","$30,097","$31,439","$4,246","$10,168"
2018,Indiana,"$7,379,525","$2,445,455","$600,871","$63,522","$253,836","$812,256",$0,$0,"$479,584","$21,307","$1,566,933","$8,802","$351,805","$105,617",$0,"$246,695","$176,495","$30,788","$105,604","$63,541","$46,416",$0
2018,Iowa,"$6,691,629","$1,062,195","$501,295","$65,424","$97,546","$592,393","$2,040,227","$44,335","$329,305",$0,"$806,471","$153,442","$165,190","$5,886",$0,"$164,334","$90,213","$4,962","$82,555","$13,699",$0,"$472,157"
2018,Kansas,"$3,868,342","$981,705","$317,644","$83,085","$130,565","$471,928",$0,$128,"$287,855","$18,418","$743,112","$307,814","$205,518","$5,058","$1,823","$95,464","$29,332","$32,740","$35,718","$111,586",$365,"$8,484"
2018,Kentucky,"$6,453,333","$1,112,952","$438,287","$180,734","$70,200","$396,679","$1,893,750",$0,"$482,305",$0,"$879,606","$25,389","$297,929","$163,472","$5,124","$95,996","$105,726","$38,916","$141,224","$32,072","$10,478","$82,495"
2018,Louisiana,"$4,392,001","$1,206,100","$298,239","$135,819","$619,493","$405,966","$18,784",$0,"$121,145",$0,"$780,591",$0,"$384,567","$21,141",$0,"$103,368","$33,944","$41,954","$94,745","$105,937","$9,138","$11,070"
2018,Maine,"$909,682","$237,351","$60,202","$25,360","$29,590","$83,934",$0,$0,"$57,943","$1,313","$276,659",$0,"$69,199",$0,$0,"$18,371","$19,270","$7,254","$9,585","$5,947","$6,022","$1,683"
2018,Maryland,"$7,867,478","$1,770,957","$786,666","$208,048","$256,580","$742,912",$0,"$1,335","$437,082","$452,763","$1,754,398","$415,121","$341,696","$11,026","$4,506","$89,907","$75,403","$67,529","$411,705","$36,547","$1,241","$2,056"
2018,Massachusetts,"$5,653,491","$1,513,736","$404,319","$138,143","$153,068","$587,099",$0,"$69,762","$640,856","$6,688","$1,462,497",$564,"$297,963","$13,642",$19,"$51,447","$92,046","$3,142","$162,532","$12,820",$451,"$42,697"
2018,Michigan,"$18,566,600","$4,376,576","$1,592,860","$89,180","$515,936","$1,230,407","$4,438,744",$0,"$654,152","$11,973","$1,851,003","$573,630","$588,971","$1,900",$0,"$390,813","$1,696,907","$114,039","$26,601","$155,894","$252,194","$4,820"
2018,Minnesota,"$5,794,811","$1,353,065","$456,774","$73,271","$413,181","$677,439",$0,$0,"$185,232","$22,547","$1,395,343",$0,"$345,568","$203,254","$45,652","$228,372","$179,941","$7,679","$100,334","$38,738",$446,"$67,974"
2018,Mississippi,"$4,627,187","$738,965","$350,505","$133,088","$90,792","$370,549","$1,097,356",$307,"$180,875","$18,615","$900,717","$73,997","$319,590","$30,904",$0,"$60,903","$30,945","$42,669","$131,688","$44,871","$3,847","$6,004"
2018,Missouri,"$5,470,541","$1,160,619","$222,201","$91,453","$100,007","$839,160","$1,014,469",$0,"$159,426","$29,440","$868,694","$165,068","$329,564","$8,050","$1,733","$111,841","$212,465","$17,814","$51,576","$34,262","$50,236","$2,464"
2018,Montana,"$1,144,329","$314,429","$173,512","$16,100","$27,744","$106,763",$0,$137,"$92,910","$3,925","$231,921","$11,098","$55,399",$662,$0,"$40,176","$8,622","$6,735","$9,407","$44,329",$82,$378
2018,Nebraska,"$2,854,588","$492,116","$272,327","$37,848","$177,935","$376,123","$22,333",$0,"$131,105",$0,"$706,512","$179,194","$118,432","$5,145",$537,"$134,157","$45,253","$7,356","$69,377","$64,798","$5,836","$8,204"
2018,Nevada,"$1,913,800","$431,319","$168,216","$49,553","$23,702","$97,199",$0,$41,"$157,361",$0,"$610,647",$0,"$125,922",$0,$0,"$53,976","$54,534","$7,986","$86,826","$44,484",$122,"$1,911"
2018,New Hampshire,"$1,072,058","$392,934","$67,823","$10,870","$45,002","$220,407",$0,$0,"$31,827",$0,"$127,475",$0,"$48,521","$2,820",$18,"$14,133","$69,771","$2,726","$8,543","$4,317","$18,031","$6,842"
2018,New Jersey,"$8,688,638","$2,444,302","$561,661","$245,802","$146,439","$563,624","$782,023","$14,715","$269,987","$6,592","$1,729,089","$213,939","$513,187","$287,157",$75,"$71,424","$178,195","$390,839","$49,440","$168,225","$36,239","$15,684"
2018,New Mexico,"$3,822,225","$318,233","$382,522","$67,364","$76,083","$97,433","$1,222,291","$8,988","$165,639","$20,567","$743,941","$273,450","$180,378","$35,634",$0,"$49,893","$50,273","$29,580","$77,757","$6,921","$7,117","$8,161"
2018,New York,"$18,968,600","$2,809,052","$766,933","$605,498","$762,299","$739,741","$3,255,196",$0,"$267,576","$431,801","$5,163,444","$1,032,349","$1,358,226","$398,461","$21,303","$70,911","$64,340","$352,940","$826,267","$37,228","$1,610","$3,424"
2018,North Carolina,"$12,279,465","$2,056,200","$992,922","$74,337","$235,093","$1,845,806",$0,"$18,744","$242,058","$41,825","$3,916,624","$250,200","$851,013","$319,788","$9,251","$353,758","$478,720","$31,897","$341,068","$158,839","$58,889","$2,431"
2018,North Dakota,"$1,183,443","$330,578","$140,754","$27,215","$31,956","$108,926",$0,$69,"$106,510","$7,482","$311,308","$4,707","$40,999",$0,$0,"$38,085","$10,483","$2,312","$17,286","$4,752",$15,$7
2018,Ohio,"$15,089,095","$3,755,830","$687,462","$165,635","$476,065","$1,230,740","$3,980,411",$0,"$365,497",$752,"$2,114,782","$203,936","$595,072","$55,811",$579,"$337,091","$671,187","$22,938","$271,632","$67,264","$60,905","$25,506"
2018,Oklahoma,"$5,004,237","$1,036,112","$330,410","$126,161","$220,922","$551,231","$98,766","$510,881","$193,997",$833,"$749,564","$333,770","$272,225","$98,017",$1,"$178,228","$40,782","$75,808","$47,117","$91,388",$744,"$47,278"
2018,Oregon,"$7,573,819","$1,335,342","$701,629","$188,098","$205,412","$584,029","$2,278,051",$0,"$223,552","$10,988","$848,629","$273,572","$275,077","$69,879","$7,386","$202,848","$137,149","$13,418","$29,165","$163,604","$22,416","$3,575"
2018,Pennsylvania,"$3,355,991","$1,240,170","$56,192","$118,285","$19,780","$345,537",$0,$0,"$108,459","$3,125","$720,815","$118,653","$376,586","$28,557","$1,901","$32,124","$35,563","$37,594","$84,700","$16,406","$2,525","$9,019"
2018,Rhode Island,"$887,305","$306,552","$71,040","$20,713","$10,790","$109,630",$0,"$23,479","$6,342",$0,"$175,942",$0,"$58,482","$2,693",$0,"$11,980","$2,785",$102,"$84,413","$1,800",$34,$526
2018,South Carolina,"$4,994,943","$1,682,083","$422,744","$387,364","$106,554","$541,823",$0,$0,"$391,752","$11,208","$649,971","$76,227","$298,128","$1,740",$0,"$244,608","$34,520","$9,065","$51,803","$67,553","$4,028","$13,772"
2018,South Dakota,"$937,110","$263,673","$95,715","$31,428","$31,175","$76,735",$0,$0,"$57,394","$6,539","$201,270",$0,"$52,333","$2,533",$0,"$29,649","$3,700","$3,419","$6,984","$66,973","$1,574","$6,017"
2018,Tennessee,"$4,999,249","$1,184,788","$282,343","$127,883","$200,911","$377,189",$0,"$16,736","$223,836","$14,443","$1,369,494",$0,"$444,575","$372,670",$0,"$88,836","$70,412","$13,946","$131,761","$55,221","$13,143","$11,064"
2018,Texas,"$44,583,415","$6,037,558","$2,185,617","$821,077","$1,876,274","$1,661,554","$3,013,706","$96,992","$3,079,842","$36,391","$6,163,142","$2,189,620","$2,048,581","$46,247","$37,247","$748,495","$8,260,027","$250,331","$351,721","$325,748","$433,270","$4,919,973"
2018,Utah,"$7,409,093","$895,866","$510,539","$30,688","$151,541","$279,888","$2,209,201","$715,857","$578,574",$0,"$1,016,173",$0,"$257,005","$32,608",$321,"$213,012","$136,037","$1,469","$213,531","$84,350","$48,830","$33,603"
2018,Vermont,"$926,655","$412,792","$124,364","$7,093","$63,638","$113,130",$0,$0,"$34,114",$0,"$73,329",$0,"$24,226",$0,$0,"$33,953","$35,331",$41,"$3,900",$304,$439,$0
2018,Virginia,"$11,437,182","$2,920,065","$892,294","$50,372","$230,819","$1,470,425","$1,672,286","$1,314","$238,691",$0,"$1,780,450","$3,399","$412,089","$25,841",$144,"$383,198","$828,492","$30,184","$241,816","$172,842","$54,608","$27,852"
2018,Washington,"$10,679,623","$2,072,003","$1,295,707","$401,872","$544,582","$807,479","$2,008,317",$0,"$491,968","$9,770","$1,528,779",$0,"$372,710","$42,663","$7,859","$205,786","$476,658","$29,270","$118,968","$149,222","$107,215","$8,798"
2018,West Virginia,"$1,947,178","$637,961","$135,613","$110,084","$119,063","$243,556",$0,$0,"$57,199",$188,"$366,824","$1,587","$118,635","$1,662",$2,"$67,372","$22,407","$22,157",$0,"$35,639",$0,"$7,229"
2018,Wisconsin,"$6,870,362","$1,543,299","$644,962","$121,879","$391,187","$494,797",$0,$0,"$881,602","$18,711","$1,338,614","$446,893","$282,638","$6,380",$0,"$393,831","$54,510","$59,489","$142,360","$47,588","$1,145",$479
2018,Wyoming,"$923,839","$100,831","$75,636","$44,646","$18,336","$62,378",$0,$0,"$47,625","$4,049","$303,171","$47,847","$31,672","$4,467",$0,"$34,110","$24,590","$1,015","$111,166",$872,"$7,135","$4,295"
2017,Total,"$378,252,046","$75,826,365","$26,898,559","$7,884,028","$13,472,805","$27,542,452","$46,158,435","$1,596,211","$20,801,317","$1,915,238","$68,281,060","$13,273,546","$19,859,411","$5,197,607","$433,922","$7,921,937","$13,780,621","$8,086,769","$6,575,388","$3,665,778","$1,189,554","$7,891,047"
2017,Alabama,"$8,344,629","$1,865,870","$688,590","$138,587","$120,198","$543,327","$2,099,796",$0,"$396,682","$6,207","$1,397,897","$3,005","$368,219",$759,$0,"$156,581","$403,245","$16,949","$1,675","$67,005","$49,887","$20,148"
2017,Alaska,"$844,054","$136,360","$131,421","$17,822","$48,287","$39,705",$0,$0,"$24,150",$0,"$339,276","$12,356","$21,036",$203,$0,$550,"$25,994","$21,891","$16,808","$5,711",$0,"$2,484"
2017,Arizona,"$6,860,394","$2,369,040","$533,946","$23,127","$276,114","$449,585",$0,$0,"$209,303","$12,799","$739,905","$874,897","$565,224","$62,574","$39,615","$187,318","$63,270","$323,817","$58,953","$38,874","$3,276","$28,756"
2017,Arkansas,"$4,219,417","$611,069","$210,977","$131,712","$75,670","$322,595","$1,186,364",$0,"$343,506",$357,"$765,161","$34,099","$237,581","$89,198","$4,881","$105,920","$44,587","$5,993","$1,503","$45,976",$115,"$2,155"
2017,California,"$58,894,651","$7,631,505","$3,518,556","$1,333,387","$1,860,552","$2,331,347","$11,241,268",$0,"$5,784,270","$6,439","$10,100,304","$3,975,545","$3,164,434","$1,717,775","$139,050","$1,275,405","$449,292","$2,594,080","$324,458","$362,971","$22,615","$1,061,398"
2017,Colorado,"$8,246,027","$2,309,626","$1,056,418","$515,466","$279,133","$646,272","$1,016,701",$0,"$546,224","$615,029","$46,107","$96,273","$268,591","$12,237",$725,"$265,451","$228,566","$42,276","$132,955","$41,960","$1,304","$124,714"
2017,Connecticut,"$3,971,962","$743,547","$181,730","$64,071","$53,980","$322,249","$398,194","$183,641","$133,732",$0,"$1,222,392",$0,"$144,987","$2,015",$35,"$32,874","$6,077","$66,852","$398,583","$1,388","$1,191","$14,423"
2017,Delaware,"$330,239","$81,158","$26,597","$21,542",$0,"$25,004",$0,$0,"$4,507",$0,"$116,931",$0,"$28,993",$0,"$7,741",$23,$600,"$1,241","$11,000",$0,$350,"$4,553"
2017,District of Columbia,"$159,465","$34,424","$15,761",$0,"$5,701",$521,$0,$0,"$3,014",$0,"$77,671",$0,"$6,861",$0,$0,"$1,137","$4,747",$0,"$9,627",$0,$0,$0
2017,Florida,"$13,079,480","$2,657,518","$1,118,098","$203,018","$1,098,926","$891,161",$254,"$9,463","$168,091","$2,501","$4,178,468","$38,093","$1,267,996","$316,743","$18,691","$263,539","$132,982","$79,431","$440,903","$187,421",$547,"$5,634"
2017,Georgia,"$8,759,309","$2,243,303","$881,793","$87,047","$583,851","$915,467","$221,913",$0,"$285,376",$0,"$2,267,964",$138,"$739,291","$15,515","$14,060","$120,908","$40,743","$34,714","$1,149","$274,575","$1,804","$29,698"
2017,Hawaii,"$1,774,938","$270,681","$293,913","$38,417","$48,949","$103,408",$0,"$26,814","$9,268",$0,"$471,453",$0,"$57,136","$214,982",$0,"$2,031","$9,495","$30,716","$159,243","$16,267",$0,"$22,165"
2017,Idaho,"$1,341,492","$356,585","$124,105","$33,536","$16,205","$113,342",$0,$0,"$52,015","$5,061","$419,837","$30,247","$90,785","$1,703",$0,"$64,330","$1,748","$5,863","$14,729","$9,586","$1,294",$520
2017,Illinois,"$12,942,550","$2,570,765","$808,544","$174,302","$186,310","$881,185","$797,636","$10,729","$836,725","$12,994","$1,108,209","$1,142,872","$651,957","$534,637","$12,794","$236,384","$54,721","$2,862,465","$34,932","$11,527","$6,327","$6,537"
2017,Indiana,"$7,208,978","$2,410,405","$587,803","$51,867","$252,193","$780,669",$0,$275,"$446,561","$24,850","$1,527,994","$4,514","$343,194","$90,982",$0,"$232,936","$257,901","$30,040","$89,610","$44,311","$32,873",$0
2017,Iowa,"$6,072,529","$1,018,639","$504,831","$63,895","$94,019","$583,545","$1,846,448","$44,315","$332,293",$0,"$828,453","$147,960","$156,430","$6,427",$0,"$176,450","$143,115","$4,801","$57,057","$56,119",$0,"$7,732"
2017,Kansas,"$3,768,216","$949,692","$310,498","$73,805","$119,809","$449,801",$0,$0,"$287,880","$17,684","$741,079","$296,897","$196,221","$4,794","$2,241","$79,435","$27,008","$49,011","$60,632","$92,423",$603,"$8,703"
2017,Kentucky,"$6,407,593","$1,117,141","$416,294","$193,909","$59,738","$390,297","$1,827,453",$0,"$468,784",$0,"$885,900","$24,906","$289,394","$157,730","$5,185","$101,860","$126,977","$30,638","$151,651","$87,195","$10,349","$62,191"
2017,Louisiana,"$4,269,931","$1,192,855","$285,278","$139,437","$568,080","$416,487","$49,773",$0,"$132,456",$0,"$776,872",$0,"$325,993","$6,070",$0,"$61,303","$39,990","$50,715","$128,518","$75,186","$8,751","$12,166"
2017,Maine,"$904,988","$229,331","$62,299","$35,134","$24,296","$88,346",$0,$0,"$50,442",$607,"$277,049",$0,"$66,641",$0,$0,"$15,133","$27,880","$7,500","$8,202","$6,682","$2,680","$2,765"
2017,Maryland,"$7,662,371","$1,723,127","$748,339","$202,069","$261,504","$746,374",$0,"$1,138","$447,456","$440,675","$1,719,050","$393,599","$324,483","$9,059","$4,084","$77,285","$69,190","$50,072","$405,152","$25,613",$298,"$13,802"
2017,Massachusetts,"$5,650,407","$1,481,657","$412,876","$141,162","$145,813","$566,288",$0,"$80,293","$647,191","$6,602","$1,423,792",$797,"$281,912","$10,382",$0,"$34,367","$106,959","$21,300","$238,512","$46,024","$2,275","$2,205"
2017,Michigan,"$18,373,806","$4,296,366","$1,534,742","$90,381","$541,651","$1,196,632","$4,200,081",$0,"$636,176","$12,023","$1,798,264","$559,346","$561,829","$3,709",$0,"$380,889","$1,962,702","$121,016","$58,941","$197,169","$216,403","$5,488"
2017,Minnesota,"$5,569,283","$1,326,125","$444,076","$61,697","$400,586","$650,813",$0,$0,"$180,161","$17,481","$1,306,661",$0,"$342,374","$203,634","$53,082","$217,547","$157,758","$7,681","$110,066","$45,924",$976,"$42,640"
2017,Mississippi,"$4,646,323","$712,660","$335,209","$128,682","$87,400","$378,761","$1,074,214",$206,"$158,227","$19,787","$965,054","$69,843","$310,227","$31,460",$0,"$57,974","$34,744","$35,194","$159,710","$72,264","$4,747","$9,960"
2017,Missouri,"$5,607,478","$1,176,792","$224,180","$114,312","$85,865","$858,735","$944,514",$0,"$166,803","$32,795","$898,065","$159,505","$327,723","$7,907","$1,882","$99,007","$296,810","$17,111","$97,345","$65,002","$33,608",$-485
2017,Montana,"$1,142,921","$307,948","$176,390","$17,484","$26,138","$105,942",$0,$0,"$88,621","$4,079","$243,809","$10,799","$54,794",$858,$0,"$37,475","$7,179","$7,753","$9,049","$40,257",$73,"$4,274"
2017,Nebraska,"$2,849,569","$479,683","$229,007","$51,253","$203,128","$346,422","$19,902",$0,"$135,634",$0,"$721,691","$169,509","$110,663","$5,431","$1,653","$140,531","$52,405","$9,312","$62,976","$106,456","$2,825","$1,088"
2017,Nevada,"$1,757,768","$417,671","$156,784","$47,121","$54,974","$91,597",$0,$97,"$129,592",$0,"$560,702",$0,"$116,889",$0,$0,"$57,786","$73,198","$30,949",$198,"$19,384",$655,$172
2017,New Hampshire,"$1,085,716","$394,127","$68,036","$11,185","$40,441","$221,913",$0,$0,"$32,420",$0,"$124,775",$0,"$45,872","$2,694",$16,"$11,476","$11,490","$27,066","$9,033","$9,627","$71,127","$4,417"
2017,New Jersey,"$8,182,767","$2,397,173","$458,601","$235,716","$218,572","$605,348","$711,167","$17,417","$288,290","$6,690","$1,589,958","$210,775","$479,925","$238,501",$475,"$59,682","$190,122","$23,672","$74,014","$317,131","$31,000","$28,538"
2017,New Mexico,"$3,845,085","$303,906","$387,284","$79,652","$73,839","$101,095","$1,191,251","$8,860","$189,535","$25,000","$752,122","$264,227","$179,671","$54,675",$0,"$45,507","$54,883","$15,730","$92,716","$9,664","$7,643","$7,826"
2017,New York,"$18,032,648","$2,899,594","$702,652","$585,531","$710,089","$753,146","$2,722,639",$0,"$234,103","$429,058","$4,899,793","$976,477","$1,268,725","$329,983","$22,256","$66,235","$11,532","$538,197","$814,710","$63,722",$832,"$3,372"
2017,North Carolina,"$11,753,406","$1,990,460","$919,978","$79,078","$267,048","$1,756,911",$0,"$15,693","$242,892","$30,494","$3,805,619","$242,273","$822,120","$304,479","$31,509","$355,989","$431,777","$30,129","$289,474","$80,602","$55,593","$1,287"
2017,North Dakota,"$1,256,710","$324,674","$138,065","$26,966","$29,779","$110,550",$0,$80,"$107,964","$7,302","$336,141","$5,424","$37,767",$0,$0,"$37,199","$9,013","$6,664","$46,573","$32,175",$6,$370
2017,Ohio,"$15,028,121","$3,801,300","$689,159","$158,425","$466,293","$1,232,937","$3,721,890",$0,"$403,372",$445,"$2,114,033","$179,357","$572,990","$50,064","$1,076","$292,124","$912,953","$46,268","$252,693","$70,053","$54,364","$8,325"
2017,Oklahoma,"$4,909,756","$992,875","$318,420","$145,757","$236,068","$543,269","$104,102","$398,640","$255,361",$336,"$804,805","$336,421","$261,799","$95,100",$2,"$107,854","$48,297","$69,527","$53,514","$85,409",$968,"$51,231"
2017,Oregon,"$7,203,393","$1,294,137","$663,987","$145,377","$192,454","$568,381","$2,154,958",$0,"$212,950","$10,100","$676,660","$265,502","$271,038","$72,607","$10,973","$216,658","$150,409","$35,916","$55,901","$185,256","$16,184","$3,945"
